Store,Item,Date,Weekly_Demand
2,4,2010-10-03,53
2,4,2010-10-10,67
2,4,2010-10-17,43
2,4,2010-10-24,54
2,4,2010-10-31,56
2,4,2010-11-07,58
2,4,2010-11-14,98
2,4,2010-11-21,100
2,4,2010-11-28,69
2,4,2010-12-05,61
2,4,2010-12-12,61
2,4,2010-12-19,53
2,4,2010-12-26,46
2,4,2011-01-02,62
2,4,2011-01-09,71
2,4,2011-01-16,79
2,4,2011-01-23,86
2,4,2011-01-30,60
2,4,2011-02-06,70
2,4,2011-02-13,70
2,4,2011-02-20,68
2,4,2011-02-27,69
2,4,2011-03-06,92
2,4,2011-03-13,65
2,4,2011-03-20,80
2,4,2011-03-27,66
2,4,2011-04-03,70
2,4,2011-04-10,65
2,4,2011-04-17,67
2,4,2011-04-24,61
2,4,2011-05-01,62
2,4,2011-05-08,54
2,4,2011-05-15,80
2,4,2011-05-22,59
2,4,2011-05-29,52
2,4,2011-06-05,53
2,4,2011-06-12,51
2,4,2011-06-19,47
2,4,2011-06-26,46
2,4,2011-07-03,42
2,4,2011-07-10,60
2,4,2011-07-17,83
2,4,2011-07-24,66
2,4,2011-07-31,61
2,4,2011-08-07,51
2,4,2011-08-14,59
2,4,2011-08-21,48
2,4,2011-08-28,61
2,4,2011-09-04,49
2,4,2011-09-11,46
2,4,2011-09-18,53
2,4,2011-09-25,76
2,4,2011-10-02,59
2,4,2011-10-09,69
2,4,2011-10-16,60
2,4,2011-10-23,70
2,4,2011-10-30,62
2,4,2011-11-06,70
2,4,2011-11-13,80
2,4,2011-11-20,76
2,4,2011-11-27,66
2,4,2011-12-04,77
2,4,2011-12-11,50
2,4,2011-12-18,55
2,4,2011-12-25,47
2,4,2012-01-01,64
2,4,2012-01-08,76
2,4,2012-01-15,89
2,4,2012-01-22,74
2,4,2012-01-29,77
2,4,2012-02-05,87
2,4,2012-02-12,77
2,4,2012-02-19,74
2,4,2012-02-26,83
2,4,2012-03-04,74
2,4,2012-03-11,77
2,4,2012-03-18,67
2,4,2012-03-25,59
2,4,2012-04-01,90
2,4,2012-04-08,78
2,4,2012-04-15,76
2,4,2012-04-22,72
2,4,2012-04-29,85
2,4,2012-05-06,79
2,4,2012-05-13,77
2,4,2012-05-20,72
2,4,2012-05-27,66
2,4,2012-06-03,61
2,4,2012-06-10,72
2,4,2012-06-17,69
2,4,2012-06-24,58
2,4,2012-07-01,54
2,4,2012-07-08,75
2,4,2012-07-15,55
2,4,2012-07-22,64
2,4,2012-07-29,72
2,4,2012-08-05,76
2,4,2012-08-12,67
2,4,2012-08-19,72
2,4,2012-08-26,68
2,4,2012-09-02,56
2,4,2012-09-09,63
2,4,2012-09-16,77
2,4,2012-09-23,61
2,4,2012-09-30,63
2,4,2012-10-07,78
2,4,2012-10-14,79
2,4,2012-10-21,61
2,4,2012-10-28,69
2,5,2010-02-07,17
2,5,2010-02-14,26
2,5,2010-02-21,20
2,5,2010-02-28,43
2,5,2010-03-07,54
2,5,2010-03-14,67
2,5,2010-03-21,67
2,5,2010-03-28,38
2,5,2010-04-04,24
2,5,2010-04-11,17
2,5,2010-04-18,13
2,5,2010-04-25,16
2,5,2010-05-02,10
2,5,2010-05-09,9
2,5,2010-05-16,9
2,5,2010-05-23,8
2,5,2010-05-30,9
2,5,2010-06-06,7
2,5,2010-06-13,8
2,5,2010-06-20,8
2,5,2010-06-27,8
2,5,2010-07-04,7
2,5,2010-07-11,8
2,5,2010-07-18,8
2,5,2010-07-25,8
2,5,2010-08-01,10
2,5,2010-08-08,10
2,5,2010-08-15,8
2,5,2010-08-22,6
2,5,2010-08-29,7
2,5,2010-09-05,7
2,5,2010-09-12,8
2,5,2010-09-19,11
2,5,2010-09-26,9
2,5,2010-10-03,14
2,5,2010-10-10,9
2,5,2010-10-17,9
2,5,2010-10-24,11
2,5,2010-10-31,10
2,5,2010-11-07,8
2,5,2010-11-14,12
2,5,2010-11-21,11
2,5,2010-11-28,10
2,5,2010-12-05,7
2,5,2010-12-12,11
2,5,2010-12-19,12
2,5,2010-12-26,11
2,5,2011-01-02,15
2,5,2011-01-09,13
2,5,2011-01-16,13
2,5,2011-01-23,14
2,5,2011-01-30,15
2,5,2011-02-06,21
2,5,2011-02-13,28
2,5,2011-02-20,25
2,5,2011-02-27,38
2,5,2011-03-06,50
2,5,2011-03-13,100
2,5,2011-03-20,73
2,5,2011-03-27,90
2,5,2011-04-03,59
2,5,2011-04-10,42
2,5,2011-04-17,25
2,5,2011-04-24,19
2,5,2011-05-01,14
2,5,2011-05-08,17
2,5,2011-05-15,13
2,5,2011-05-22,13
2,5,2011-05-29,10
2,5,2011-06-05,9
2,5,2011-06-12,14
2,5,2011-06-19,11
2,5,2011-06-26,11
2,5,2011-07-03,10
2,5,2011-07-10,15
2,5,2011-07-17,14
2,5,2011-07-24,9
2,5,2011-07-31,9
2,5,2011-08-07,10
2,5,2011-08-14,10
2,5,2011-08-21,16
2,5,2011-08-28,12
2,5,2011-09-04,11
2,5,2011-09-11,8
2,5,2011-09-18,13
2,5,2011-09-25,9
2,5,2011-10-02,14
2,5,2011-10-09,12
2,5,2011-10-16,10
2,5,2011-10-23,13
2,5,2011-10-30,13
2,5,2011-11-06,9
2,5,2011-11-13,10
2,5,2011-11-20,13
2,5,2011-11-27,14
2,5,2011-12-04,13
2,5,2011-12-11,13
2,5,2011-12-18,13
2,5,2011-12-25,13
2,5,2012-01-01,15
2,5,2012-01-08,17
2,5,2012-01-15,20
2,5,2012-01-22,17
2,5,2012-01-29,23
2,5,2012-02-05,17
2,5,2012-02-12,22
2,5,2012-02-19,41
2,5,2012-02-26,35
2,5,2012-03-04,67
2,5,2012-03-11,85
2,5,2012-03-18,48
2,5,2012-03-25,62
2,5,2012-04-01,38
2,5,2012-04-08,23
2,5,2012-04-15,25
2,5,2012-04-22,19
2,5,2012-04-29,20
2,5,2012-05-06,12
2,5,2012-05-13,11
2,5,2012-05-20,13
2,5,2012-05-27,11
2,5,2012-06-03,12
2,5,2012-06-10,9
2,5,2012-06-17,9
2,5,2012-06-24,10
2,5,2012-07-01,11
2,5,2012-07-08,10
2,5,2012-07-15,9
2,5,2012-07-22,9
2,5,2012-07-29,10
2,5,2012-08-05,12
2,5,2012-08-12,9
2,5,2012-08-19,10
2,5,2012-08-26,18
2,5,2012-09-02,14
2,5,2012-09-09,17
2,5,2012-09-16,15
2,5,2012-09-23,12
2,5,2012-09-30,21
2,5,2012-10-07,18
2,5,2012-10-14,10
2,5,2012-10-21,16
2,5,2012-10-28,15
2,6,2010-02-07,65
2,6,2010-02-14,69
2,6,2010-02-21,60
2,6,2010-02-28,43
2,6,2010-03-07,61
2,6,2010-03-14,65
2,6,2010-03-21,55
2,6,2010-03-28,58
2,6,2010-04-04,42
2,6,2010-04-11,52
2,6,2010-04-18,59
2,6,2010-04-25,43
2,6,2010-05-02,44
2,6,2010-05-09,52
2,6,2010-05-16,46
2,6,2010-05-23,43
2,6,2010-05-30,56
2,6,2010-06-06,49
2,6,2010-06-13,52
2,6,2010-06-20,46
2,6,2010-06-27,48
2,6,2010-07-04,38
2,6,2010-07-11,43
2,6,2010-07-18,50
2,6,2010-07-25,51
2,6,2010-08-01,49
2,6,2010-08-08,48
2,6,2010-08-15,56
2,6,2010-08-22,54
2,6,2010-08-29,43
2,6,2010-09-05,76
2,6,2010-09-12,51
2,6,2010-09-19,67
2,6,2010-09-26,68
2,6,2010-10-03,56
2,6,2010-10-10,68
2,6,2010-10-17,72
